,column_value,column_name,sdmx_code,comments
0,1st quintile (lowest),Income or wealth quantile,,
1,2nd quintile,Income or wealth quantile,,
2,3rd quintile,Income or wealth quantile,,
3,4th quintile,Income or wealth quantile,,
4,5th quintile (highest),Income or wealth quantile,,
5,Bottom 40%,Income or wealth quantile,,
6,0 to 4,Age,,
7,1 to 4,Age,,
8,10 to 14,Age,,
9,10 to 19,Age,,
10,11 to 18,Age,,
11,12 to 13,Age,,
12,13 to 14,Age,,
13,15 and under,Age,,
14,15 to 17,Age,,
15,15 to 19,Age,,
16,15 to 24,Age,,
17,1.5 to 3,Age,,
18,16 to 17,Age,,
19,16 to 19,Age,,
20,16 to 19 *,Age,,
21,16 to 24,Age,,
22,16 to 24 #,Age,,
23,16 to 64,Age,,
24,17 and under,Age,,
25,18 to 19,Age,,
26,18 to 20,Age,,
27,18 to 21,Age,,
28,18 to 24,Age,,
29,19 and under,Age,,
30,19 to 24,Age,,
31,19 to 64,Age,,
32,20 and under,Age,,
33,20 to 24,Age,,
34,20 to 24 *,Age,,
35,21 to 24,Age,,
36,21 to 40,Age,,
37,22 to 29,Age,,
38,24 to 29,Age,,
39,25 to 29,Age,,
40,25 to 34,Age,,
41,25 to 49,Age,,
42,29 and under,Age,,
43,2,Age,,
44,3 to 4,Age,,
45,30 to 34,Age,,
46,30 to 39,Age,,
47,30 to 49,Age,,
48,35 to 39,Age,,
49,35 to 44,Age,,
50,35 to 49,Age,,
51,35 to 54,Age,,
52,3,Age,,
53,4 and under,Age,,
54,4 to 10,Age,,
55,40 and over,Age,,
56,40 to 44,Age,,
57,40 to 49,Age,,
58,41 to 60,Age,,
59,45 and over,Age,,
60,45 to 49,Age,,
61,45 to 54,Age,,
62,4,Age,,
63,5 to 14,Age,,
64,5 to 15,Age,,
65,5 to 9,Age,,
66,50 to 54,Age,,
67,50 to 59,Age,,
68,50 to 64,Age,,
69,55 and over #,Age,,
70,55 to 59,Age,,
71,55 to 59 *,Age,,
72,55 to 64,Age,,
73,60 and over,Age,,
74,60 to 64,Age,,
75,60 to 64 *,Age,,
76,60 to 69,Age,,
77,61 and over,Age,,
78,65 and over,Age,,
79,65 and over *,Age,,
80,65 to 69,Age,,
81,65 to 74,Age,,
82,70 and over,Age,,
83,70 to 74,Age,,
84,75 and over,Age,,
85,75 to 79,Age,,
86,75 to 84,Age,,
87,80 to 84,Age,,
88,85 and over,Age,,
89,85 to 89,Age,,
90,85+,Age,,
91,90 and over,Age,,
92,By 1st birthday,Age,,
93,By 2nd birthday,Age,,
94,By 5th birthday,Age,,
95,By age 17,Age,,
96,By age 18,Age,,
97,Over 65,Age,,
98,Under 1,Age,,
99,Under 15,Age,,
100,Under 16,Age,,
101,Female,Sex,,
102,Male,Sex,,
103,Men,Sex,,
104,Women,Sex,,
105,Africa,Reference area,,
106,Americas,Reference area,,
107,Asia,Reference area,,
108,"Developing countries, unspecified",Reference area,,
109,Europe,Reference area,,
110,Pacific,Reference area,,
111,Afghanistan,Reference area,,
112,"Africa, regional",Reference area,,
113,Albania,Reference area,,
114,Algeria,Reference area,,
115,"America, regional",Reference area,,
116,Angola,Reference area,,
117,Anguilla,Reference area,,
118,Antigua and Barbuda,Reference area,,
119,Argentina,Reference area,,
120,Armenia,Reference area,,
121,"Asia, regional",Reference area,,
122,Azerbaijan,Reference area,,
123,Bangladesh,Reference area,,
124,Barbados,Reference area,,
125,Belarus,Reference area,,
126,Belize,Reference area,,
127,Benin,Reference area,,
128,Bhutan,Reference area,,
129,Bolivia,Reference area,,
130,Bosnia-Herzegovina,Reference area,,
131,Botswana,Reference area,,
132,Brazil,Reference area,,
133,Burkina Faso,Reference area,,
134,Burma,Reference area,,
135,Burundi,Reference area,,
136,Cambodia,Reference area,,
137,Cameroon,Reference area,,
138,Cape Verde,Reference area,,
139,Central African Rep.,Reference area,,
140,"Central Asia, regional",Reference area,,
141,Chad,Reference area,,
142,Chile,Reference area,,
143,China,Reference area,,
144,Colombia,Reference area,,
145,Comoros,Reference area,,
146,"Congo, Rep.",Reference area,,
147,Costa Rica,Reference area,,
148,Cote d'Ivoire,Reference area,,
149,Croatia,Reference area,,
150,Cuba,Reference area,,
151,Democratic People's Republic of Korea,Reference area,,
152,Democratic Republic of the Congo,Reference area,,
153,Djibouti,Reference area,,
154,Dominica,Reference area,,
155,Dominican Republic,Reference area,,
156,Ecuador,Reference area,,
157,Egypt,Reference area,,
158,El Salvador,Reference area,,
159,Eritrea,Reference area,,
160,Ethiopia,Reference area,,
161,"Europe, regional",Reference area,,
162,"Far East Asia, regional",Reference area,,
163,Fiji,Reference area,,
164,Former Yugoslav Republic of Macedonia (FYROM),Reference area,,
165,Gabon,Reference area,,
166,Gambia,Reference area,,
167,Georgia,Reference area,,
168,Ghana,Reference area,,
169,Grenada,Reference area,,
170,Guatemala,Reference area,,
171,Guinea-Bissau,Reference area,,
172,Guinea,Reference area,,
173,Guyana,Reference area,,
174,Haiti,Reference area,,
175,Honduras,Reference area,,
