,sdg_column_name,SDMX_concept_name
0,Area of spending category,
1,Area of spending sub-category,
2,Income/expenditure,
3,Income group,
4,Age,
5,Sex,
6,Developing country participation,
7,Institution,
8,Recipient region,
9,Recipient country,
10,Material category,
11,Treatment type,
12,Economic activity,
13,Gas,
14,Sustainability level (Pressure),
15,Sustainability level (State),
16,Description,
17,Type of government,
18,Source of revenue,
19,Category,
20,Flow of Official Development Assistance (ODA),
21,DAC classification,
22,Speed (mb/sec),
23,Beverage,
24,Aid sub-category (DAC 5 code),
25,Aid description (CRS code),
26,Occupation unit group,
27,Occupation minor group,
28,IHR core capacity,
29,Educational measure,
30,Education indicator,
31,Area of law,
32,Water resources management category,
33,Water resources management sub-category,
34,Water type,
35,Geography (HydroBASINs ID),
36,Urban or Rural,
37,Industry sector,
38,Bank account category,
39,Product,
40,Industry higher sub-category,
41,Industry middle sub-category,
42,Industry lower sub-category,
43,Manufacturing industry,
44,Technology,
