,other_info,data_non_statistical,national_geographical_coverage,reporting_status,proxy_indicator,only_uk_data,geo_disag
1-5-4,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,,complete,False,False,
7-3-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
16-7-1,Age and sex distribution in the general population is provided for representative comparison. Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,True
16-2-1,,False,,notstarted,False,False,
2-c-1,This indicator has been identified in collaboration with topic experts.,False,,notstarted,False,False,
3-a-1,"Data for additional disaggregations are available in source 1, including data for smoking prevalence in English counties, smoking prevalence in English Clinical Commissioning Groups and Welsh Local Health Boards, smoking prevalence by economic activity, smoking prevalence by relationship status and smoking prevalence by highest educational attainment. Note that smoking prevalence by economic activity is only for ages 18 to 64.  This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,True
11-7-2,"<p>For details of the Crime Survey for England and Wales, see the <a href='https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/methodologies/crimeandjusticemethodology'>user guide to crime statistics for England and Wales.</a></p><p>The year format refers to the two years covered by the data, from April of the first year to March of the following year. For example, 2018/19 covers the period of April 2018 to March 2019.</p><p>For further information on the quality of the estimates please refer to the source data which provides the unweighted base sizes of the samples. The sample size is lower between 2010/11 and 2012/13, and between 2017/18 and 2018/19 due to use of a split-sample experiment in these years. The methodological note titled <a href='https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/methodologies/crimeandjusticemethodology'>Split sample for intimate personal violence 2013-14</a> provides further information.</p><p>New questions were introduced into the survey in 2010/11 and were further revised for the survey year 2012/13. Estimates from 2012/13 onwards are calculated using these new questions. Estimates for earlier years are calculated from the original questions with an adjustment applied to make them comparable to the new questions.</p><p>Prior to April 2017, data are only presented for people aged between 16 and 59. From April 2017, the upper age limit for the self-completion module was increased to ask all respondents aged 16 to 74 - these data can be viewed by changing the Units. </p><p>Fieldwork for the year to March 2020 was suspended two weeks early on Wednesday the 18th March 2020 just prior to the lockdown restrictions being announced by the Government on the 23rd March 2020. Estimates for the year to March were therefore unaffected by the lockdown restrictions.</p><p>The Washington Group on Disability Statistics are often used to provide a cross-nationally comparable population-based measures of disability. Please see the article <a href=""https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/disability/articles/measuringdisabilitycomparingapproaches/2019-08-06"">Measuring disability - comparing approaches</a> for a comparison between the GSS Harmonised measure (used here) and the Washington Group measure.</p> This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,True,False,True
10-a-1,"The indicator is focused on Trade in Goods. Imports are assigned to a product sector based on their 6 digit code, rather than the 8 digit code provided on the database. This is because at 8 digit level codes are frequently altered. Therefore, when mapping sectors using the most recently updated tariff schedule, import product codes from prior years will not be captured in instances where they have been updated. To overcome this, sectors are assigned to one 6 digit code only. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,True
13-1-3,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,,complete,False,False,
1-a-2,Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
